FromRegime,ToRegime,Dataset,Changed
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Normal,Primary_Internal_Test,True
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Normal,Primary_Internal_Test,True
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Critical_Low,Primary_Internal_Test,True
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Normal,Primary_Internal_Test,True
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,High,Primary_Internal_Test,True
High,Surplus,Primary_Internal_Test,True
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
Surplus,High,Primary_Internal_Test,True
High,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,High,Primary_Internal_Test,True
High,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Normal,Primary_Internal_Test,True
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Critical_Low,Primary_Internal_Test,True
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Normal,Primary_Internal_Test,True
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,Normal,Primary_Internal_Test,True
Normal,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,High,Primary_Internal_Test,True
High,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
Surplus,High,Primary_Internal_Test,True
High,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
Surplus,High,Primary_Internal_Test,True
High,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Normal,Primary_Internal_Test,True
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Critical_Low,Primary_Internal_Test,True
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Normal,Primary_Internal_Test,True
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Critical_Low,Primary_Internal_Test,True
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Normal,Primary_Internal_Test,True
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Critical_Low,Primary_Internal_Test,True
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Normal,Primary_Internal_Test,True
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Normal,Primary_Internal_Test,True
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Critical_Low,Primary_Internal_Test,True
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Normal,Primary_Internal_Test,True
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,Surplus,Primary_Internal_Test,False
Surplus,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Normal,Primary_Internal_Test,True
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Critical_Low,Primary_Internal_Test,True
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Critical_Low,Primary_Internal_Test,False
Critical_Low,Normal,Primary_Internal_Test,True
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,Normal,Primary_Internal_Test,False
Normal,High,Primary_Internal_Test,True
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,High,Primary_Internal_Test,False
High,Surplus,Primary_Internal_Test,True
Surplus,Surplus,Primary_Internal_Test,False
